VALOR_MAX;VALOR_MIN         ;VALOR_MED       ;FECHA_MAX                       ;FECHA_MIN ;FECHA         
    ;                  ;                ;                                ;          ;2008-04-13 00:00
    ;                  ;                ;                                ;          ;2008-04-14 00:00
    ;                  ;                ;                                ;          ;2008-04-15 00:00
    ;                  ;                ;                                ;          ;2008-04-16 00:00
    ;                  ;                ;                                ;          ;2008-04-17 00:00
    ;                  ;                ;                                ;          ;2008-04-18 00:00
    ;                  ;                ;                                ;          ;2008-04-19 00:00
    ;                  ;                ;                                ;          ;2008-04-20 00:00
    ;                  ;                ;                                ;          ;2008-04-21 00:00
    ;                  ;                ;                                ;          ;2008-04-22 00:00
    ;                  ;                ;                                ;          ;2008-04-23 00:00
    ;                  ;                ;                                ;          ;2008-04-24 00:00
,15 ;,12               ;,14             ;25/04/08                        ;25/04/08  ;2008-04-25 00:00
,15 ;,13               ;,14             ;26/04/08                        ;26/04/08  ;2008-04-26 00:00
,15 ;,13               ;,14             ;27/04/08                        ;27/04/08  ;2008-04-27 00:00
,16 ;,11               ;,13             ;28/04/08                        ;28/04/08  ;2008-04-28 00:00
,14 ;,12               ;,14             ;29/04/08                        ;29/04/08  ;2008-04-29 00:00
,14 ;,12               ;,14             ;30/04/08                        ;30/04/08  ;2008-04-30 00:00
,15 ;,12               ;,13             ;01/05/08                        ;01/05/08  ;2008-05-01 00:00
,14 ;,12               ;,13             ;02/05/08                        ;02/05/08  ;2008-05-02 00:00
,14 ;,12               ;,13             ;03/05/08                        ;03/05/08  ;2008-05-03 00:00
,14 ;,12               ;,13             ;04/05/08                        ;04/05/08  ;2008-05-04 00:00
,15 ;,12               ;,13             ;05/05/08                        ;05/05/08  ;2008-05-05 00:00
,15 ;,12               ;,13             ;06/05/08                        ;06/05/08  ;2008-05-06 00:00
,15 ;,12               ;,13             ;07/05/08                        ;07/05/08  ;2008-05-07 00:00
,16 ;,13               ;,14             ;08/05/08                        ;08/05/08  ;2008-05-08 00:00
,15 ;,12               ;,14             ;09/05/08                        ;09/05/08  ;2008-05-09 00:00
,45 ;,14               ;,29             ;11/05/08                        ;10/05/08  ;2008-05-10 00:00
,47 ;,27               ;,34             ;11/05/08                        ;11/05/08  ;2008-05-11 00:00
,27 ;,21               ;,24             ;12/05/08                        ;12/05/08  ;2008-05-12 00:00
,37 ;,19               ;,22             ;13/05/08                        ;13/05/08  ;2008-05-13 00:00
,35 ;,24               ;,26             ;14/05/08                        ;14/05/08  ;2008-05-14 00:00
,23 ;,19               ;,21             ;15/05/08                        ;15/05/08  ;2008-05-15 00:00
,41 ;,19               ;,22             ;16/05/08                        ;16/05/08  ;2008-05-16 00:00
,4  ;,21               ;,25             ;17/05/08                        ;18/05/08  ;2008-05-17 00:00
,22 ;,2                ;,2              ;18/05/08                        ;18/05/08  ;2008-05-18 00:00
,2  ;,18               ;,19             ;19/05/08                        ;19/05/08  ;2008-05-19 00:00
,18 ;,15               ;,18             ;20/05/08                        ;20/05/08  ;2008-05-20 00:00
,18 ;,16               ;,17             ;21/05/08                        ;21/05/08  ;2008-05-21 00:00
,18 ;,17               ;,17             ;22/05/08                        ;22/05/08  ;2008-05-22 00:00
,36 ;,17               ;,2              ;24/05/08                        ;23/05/08  ;2008-05-23 00:00
,4  ;,26               ;,31             ;24/05/08                        ;24/05/08  ;2008-05-24 00:00
,37 ;,22               ;,26             ;25/05/08                        ;25/05/08  ;2008-05-25 00:00
,28 ;,22               ;,24             ;26/05/08                        ;26/05/08  ;2008-05-26 00:00
,25 ;,2                ;,22             ;27/05/08                        ;27/05/08  ;2008-05-27 00:00
,22 ;,19               ;,2              ;28/05/08                        ;28/05/08  ;2008-05-28 00:00
,22 ;,19               ;,2              ;29/05/08                        ;29/05/08  ;2008-05-29 00:00
,19 ;,16               ;,18             ;30/05/08                        ;30/05/08  ;2008-05-30 00:00
1,17;,18               ;,33             ;01/06/08                        ;31/05/08  ;2008-05-31 00:00
1,63;,4                ;,91             ;01/06/08                        ;01/06/08  ;2008-06-01 00:00
,57 ;,3                ;,4              ;02/06/08                        ;02/06/08  ;2008-06-02 00:00
,43 ;,29               ;,33             ;03/06/08                        ;04/06/08  ;2008-06-03 00:00
,29 ;,25               ;,27             ;04/06/08                        ;04/06/08  ;2008-06-04 00:00
,25 ;,23               ;,24             ;05/06/08                        ;05/06/08  ;2008-06-05 00:00
,23 ;,22               ;,22             ;06/06/08                        ;07/06/08  ;2008-06-06 00:00
,22 ;,2                ;,21             ;07/06/08                        ;07/06/08  ;2008-06-07 00:00
,2  ;,19               ;,2              ;08/06/08                        ;08/06/08  ;2008-06-08 00:00
,2  ;,19               ;,19             ;09/06/08                        ;09/06/08  ;2008-06-09 00:00
,24 ;,19               ;,2              ;10/06/08                        ;10/06/08  ;2008-06-10 00:00
,33 ;,22               ;,26             ;11/06/08                        ;11/06/08  ;2008-06-11 00:00
,46 ;,22               ;,27             ;12/06/08                        ;12/06/08  ;2008-06-12 00:00
